"","gauge","avg_DOHY","sd_DOHY","W_avg","W_sd","AN_avg","AN_sd","BN_avg","BN_sd","D_avg","D_sd","C_avg","C_sd"
"62","11399500","04-02",89,"04-02",89,NA,NA,NA,NA,NA,NA,NA,NA
"63","11400500","02-28",83,"01-27",31,"01-13",NA,NA,NA,"06-09",130,NA,NA
"64","11402000","02-28",33,"03-05",36,"03-02",35,"03-20",25,"02-11",35,"02-25",25
"65","11404500","02-24",42,"03-11",41,"02-15",50,"02-17",29,"02-01",38,"03-04",NA
"66","11407000","02-09",30,"02-09",29,"02-09",39,NA,NA,NA,NA,NA,NA
"67","11413000","04-04",50,"04-09",51,"04-29",31,"04-26",30,"03-07",50,"03-11",64
"68","11416500","05-06",61,"04-26",57,"05-29",4,"05-24",29,"03-29",103,"06-14",144
"69","11417500","03-19",53,"04-06",54,"03-21",60,"03-19",57,"02-17",44,"03-13",45
"70","11418500","02-12",26,"02-14",26,"02-18",24,"02-15",30,"02-06",32,"02-08",22
"71","11421000","03-08",39,"03-05",32,"03-21",40,"03-29",47,"02-21",57,"02-19",12
"72","11424000","03-02",31,"02-16",27,"03-08",28,"03-19",28,"03-06",41,"03-21",18
"73","11425500","02-19",32,"02-18",31,"03-01",39,"02-23",21,"02-03",35,NA,NA
"74","11427000","03-10",41,"03-07",37,"03-06",39,"04-08",37,"03-05",45,"03-04",54
"75","11427500","04-14",77,"04-29",61,"03-28",105,"05-22",NA,NA,NA,"10-16",NA
"76","11427700","04-09",54,"04-17",54,"04-29",32,"05-05",21,"03-23",52,"03-08",77
"77","11429500","02-19",81,"04-03",80,"01-21",91,"01-13",73,"02-28",50,"12-07",64
"78","11430000","02-18",74,"03-10",61,"03-21",71,"02-23",77,"01-23",84,"01-12",77
"79","11433300","02-28",40,"03-09",33,"03-11",48,"02-25",43,"02-07",46,"02-26",8
"80","11436000","05-18",15,"05-26",15,"05-21",9,"05-19",16,"05-03",12,"05-22",11
"81","11439500","05-10",32,"05-19",20,"05-20",9,"05-14",15,"04-07",56,"05-20",6
"82","11439501","05-12",32,"05-21",17,"05-21",8,"05-15",15,"04-05",61,"05-20",6
"83","11441500","03-01",107,"03-24",94,"05-15",28,"04-22",146,"10-31",20,"10-22",5
"84","11441900","03-23",67,"04-08",60,"02-13",56,"04-23",119,"03-05",4,"02-17",7
"85","11443500","04-15",65,"04-11",66,"04-14",78,"06-11",NA,NA,NA,NA,NA
"86","11444500","04-15",46,"04-16",50,"04-23",44,"05-18",22,"03-25",36,"02-10",NA
"87","11446500","03-02",44,"02-25",36,"03-03",46,"04-19",74,"02-09",66,NA,NA
"88","11447650","02-18",33,"02-19",32,"03-02",38,"02-15",19,"01-30",40,NA,NA
"89","11449500","02-04",29,"02-04",30,"01-24",19,"02-09",34,"02-02",35,"02-13",31
"90","11451000","03-18",48,"03-02",27,"03-23",34,"05-19",74,"03-15",81,NA,NA
"91","11452500","02-20",27,"02-23",26,"02-20",20,"03-15",25,"02-10",31,"02-01",30
"92","11453500","02-02",29,"02-07",32,"01-20",22,"02-11",30,"01-25",36,"02-11",23
"93","11454000","05-18",60,"03-27",58,"06-01",50,"06-14",61,"06-28",5,"06-15",34
